source,target,relation,relation_id
384,3622,HAS_EXPENDITURE,3
442,3619,HAS_EXPENDITURE,3
264,3606,HAS_EXPENDITURE,3
328,3618,HAS_EXPENDITURE,3
379,3581,IN_YEAR,2
269,3581,IN_YEAR,2
400,3618,HAS_EXPENDITURE,3
352,3606,HAS_EXPENDITURE,3
324,3610,HAS_EXPENDITURE,3
282,3615,HAS_EXPENDITURE,3
293,3616,HAS_EXPENDITURE,3
436,3609,HAS_EXPENDITURE,3
402,3608,HAS_EXPENDITURE,3
295,3619,HAS_EXPENDITURE,3
228,3618,HAS_EXPENDITURE,3
223,3607,HAS_EXPENDITURE,3
381,3622,HAS_EXPENDITURE,3
274,3620,HAS_EXPENDITURE,3
213,3615,HAS_EXPENDITURE,3
283,3573,HAS_PURPOSE,1
380,3618,HAS_EXPENDITURE,3
395,3576,HAS_PURPOSE,1
417,3609,HAS_EXPENDITURE,3
351,3610,HAS_EXPENDITURE,3
345,82,TO_DESTINATION,0
356,3611,HAS_EXPENDITURE,3
436,3612,HAS_EXPENDITURE,3
320,87,TO_DESTINATION,0
331,3613,HAS_EXPENDITURE,3
347,3608,HAS_EXPENDITURE,3
217,3622,HAS_EXPENDITURE,3
376,3613,HAS_EXPENDITURE,3
280,3611,HAS_EXPENDITURE,3
221,3606,HAS_EXPENDITURE,3
218,3581,IN_YEAR,2
406,3622,HAS_EXPENDITURE,3
377,3610,HAS_EXPENDITURE,3
443,3581,IN_YEAR,2
411,3609,HAS_EXPENDITURE,3
400,3621,HAS_EXPENDITURE,3
391,3611,HAS_EXPENDITURE,3
403,3611,HAS_EXPENDITURE,3
426,3622,HAS_EXPENDITURE,3
215,3621,HAS_EXPENDITURE,3
269,3622,HAS_EXPENDITURE,3
427,3607,HAS_EXPENDITURE,3
261,114,TO_DESTINATION,0
406,3613,HAS_EXPENDITURE,3
340,3610,HAS_EXPENDITURE,3
310,3621,HAS_EXPENDITURE,3
283,3608,HAS_EXPENDITURE,3
375,3608,HAS_EXPENDITURE,3
220,3608,HAS_EXPENDITURE,3
316,3614,HAS_EXPENDITURE,3
235,3606,HAS_EXPENDITURE,3
408,3613,HAS_EXPENDITURE,3
411,3619,HAS_EXPENDITURE,3
377,3619,HAS_EXPENDITURE,3
403,3614,HAS_EXPENDITURE,3
377,120,TO_DESTINATION,0
365,3623,HAS_EXPENDITURE,3
294,3581,IN_YEAR,2
376,90,TO_DESTINATION,0
434,3621,HAS_EXPENDITURE,3
247,3617,HAS_EXPENDITURE,3
379,3616,HAS_EXPENDITURE,3
295,3581,IN_YEAR,2
410,3607,HAS_EXPENDITURE,3
369,81,TO_DESTINATION,0
413,3616,HAS_EXPENDITURE,3
231,3622,HAS_EXPENDITURE,3
248,43,TO_DESTINATION,0
338,3607,HAS_EXPENDITURE,3
336,3606,HAS_EXPENDITURE,3
397,3607,HAS_EXPENDITURE,3
217,3618,HAS_EXPENDITURE,3
274,3612,HAS_EXPENDITURE,3
418,3613,HAS_EXPENDITURE,3
341,3621,HAS_EXPENDITURE,3
344,3615,HAS_EXPENDITURE,3
222,46,TO_DESTINATION,0
398,3576,HAS_PURPOSE,1
338,3619,HAS_EXPENDITURE,3
378,63,TO_DESTINATION,0
308,74,TO_DESTINATION,0
273,3618,HAS_EXPENDITURE,3
220,102,TO_DESTINATION,0
214,3609,HAS_EXPENDITURE,3
404,3606,HAS_EXPENDITURE,3
398,3610,HAS_EXPENDITURE,3
368,3581,IN_YEAR,2
244,3622,HAS_EXPENDITURE,3
345,3575,HAS_PURPOSE,1
387,3609,HAS_EXPENDITURE,3
276,3622,HAS_EXPENDITURE,3
297,3619,HAS_EXPENDITURE,3
431,3611,HAS_EXPENDITURE,3
219,3573,HAS_PURPOSE,1
286,3617,HAS_EXPENDITURE,3
380,3575,HAS_PURPOSE,1
421,71,TO_DESTINATION,0
245,3608,HAS_EXPENDITURE,3
