freq,purpose,duration,c_dest,expend,statinfo,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,IT	1092710584 	841739973 	836578573 b	1019325713 	1278199699 	1147255488 	1329627165 	1367978209 	885438784 	812079018 	1326100447 	1163807178 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,LT	23541774 	18424773 	26863787 	35737514 	43459301 	50364433 	53620640 	63274420 	56902241 	86453668 	122492188 	142024198 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,LU	1039025 	1343844 	1355502 	1074588 u	628783 u	827104 	2329958 	1874590 	10713780 	9483770 	10973489 	14484171 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,LV	7578467 	10626031 	10247072 	8023757 	8286692 	8768358 	13308039 	11858024 	9221293 	26671668 	25793212 	30507670 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,ME	: 	: 	: 	: 	2920389 	4160773 	: 	: 	: 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,MK	: 	: 	: 	: 	: 	: 	: 	1179812 	2313553 	2003814 	: 	: 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,MT	9513319 	5880286 	8429318 b	8132998 	12168952 	10469234 	10170906 	9339015 	14049125 	17471899 	17636722 	20547729 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,NL	453679637 b	423368444 	385625896 	448326363 	510255862 	511839160 	612150246 	555148065 	518984984 	964337170 	824912482 	905279652 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,NO	: 	338094146 	402241736 	353509322 	381006150 	476235278 	387156854 	: 	: 	652363099 	743853902 	669321185 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,PL	597831108 	638073710 	202607242 b	285490524 	335309659 	407852981 	443307599 	493164921 	389334125 	511335794 	682500609 	857501224 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,PT	54050387 	39706015 	64121889 	83292483 	74720576 	92438100 	105983328 	149831368 	101340610 	117311089 	180684035 	203345328 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,RO	68515492 	72443668 	80493401 	93797481 	108716231 	113991706 	146320146 	184999211 	128933742 	243232702 	316734657 	356235599 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,RS	: 	: 	: 	: 	: 	: 	10138006 	: 	: 	: 	: 	: 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,SE	: 	: 	483938521 	662727801 	745129787 	1272323300 	933227871 	1022629998 	946047850 	1338109996 	1726959113 	: 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,SI	27202622 	28957181 	33376343 	30791884 	35535287 	36831768 	46949377 	38642554 	49981677 	110949457 	88107082 	73005506 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,SK	57801192 	58297857 b	74397213 	77184860 	101880585 	160260610 	138593578 	194809594 	116268404 	102474619 	213407573 	240169265 
A,PER,N1-3,DOM,ACCOM,TOTAL,EUR,UK	: @C	3678026006 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
