freq,purpose,c_dest,quant_inc,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PROF,NEU27_2020_FOR,Q1,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,PROF,NEU27_2020_FOR,Q1,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,PROF,NEU27_2020_FOR,Q1,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,PROF,NEU27_2020_FOR,Q1,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,PROF,NEU27_2020_FOR,Q1,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q1,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q1,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,PROF,NEU27_2020_FOR,Q1,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q1,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q1,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q1,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,PROF,NEU27_2020_FOR,Q1,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q2,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q2,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q2,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,PROF,NEU27_2020_FOR,Q2,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q2,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	390628 u
A,PROF,NEU27_2020_FOR,Q2,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q2,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q2,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	541811 u	: u	212943 u	: u
A,PROF,NEU27_2020_FOR,Q2,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	336496 u
A,PROF,NEU27_2020_FOR,Q2,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q2,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q2,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	474997 u	: u	180033 u	: u
A,PROF,NEU27_2020_FOR,Q3,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q3,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q3,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q3,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	89190 u	: u
A,PROF,NEU27_2020_FOR,Q3,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	924484 u	529205 u
A,PROF,NEU27_2020_FOR,Q3,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	1187825 u
A,PROF,NEU27_2020_FOR,Q3,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q3,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	219614 u	299004 u	816316 	2662819 
A,PROF,NEU27_2020_FOR,Q3,N_GE1,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,PROF,NEU27_2020_FOR,Q3,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	486212 u
A,PROF,NEU27_2020_FOR,Q3,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q3,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q3,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	727126 	2614094 
A,PROF,NEU27_2020_FOR,Q3,N_GE4,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,PROF,NEU27_2020_FOR,Q4,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	98302 u	72821 u
A,PROF,NEU27_2020_FOR,Q4,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,Q4,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,PROF,NEU27_2020_FOR,Q4,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	63003 u	100437 u	215380 	195424 
A,PROF,NEU27_2020_FOR,Q4,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	1185708 	947372 
A,PROF,NEU27_2020_FOR,Q4,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	1748164 u
A,PROF,NEU27_2020_FOR,Q4,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	265957 u
A,PROF,NEU27_2020_FOR,Q4,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	193248 u	785637 	2199485 	2792412 
A,PROF,NEU27_2020_FOR,Q4,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	1087406 	874552 u
A,PROF,NEU27_2020_FOR,Q4,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	1588470 u
A,PROF,NEU27_2020_FOR,Q4,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	258405 u
A,PROF,NEU27_2020_FOR,Q4,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	685200 	1984105 	2596988 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	73981 u	: u	419401 	277416 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	167613 u	: u	154387 u	211356 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	56991 u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	1288753 u	: u	1749700 u	2766166 u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	218713 u	230931 u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	84382 u	277847 	404699 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	195158 u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	488345 u	351835 u	812941 	646944 u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	61820 u	68303 u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	118998 	98709 	195401 	215718 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	127985 	117969 u	386834 	524066 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	34013 	30280 	67881 	62542 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	22434 u	21265 u	78559 	101450 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	29905 u	: u	: u	36440 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	290962 	134949 u	343537 	278276 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	234813 u	193839 u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	52550 u	51306 	85849 	119355 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	65269 u	: u	59670 u	71011 u
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	397644 u	: u	: u	: 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	38146 u	55171 u	99807 
A,PROF,NEU27_2020_FOR,TOTAL,N1-3,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1837336 	1020598 u	2835979 	2278703 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	2802257 	2429458 u	2826957 	2154608 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	431149 u	455169 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	6394036 u	15004409 u	19769546 	18684744 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	1836080 u	4485639 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	302439 u	275984 u	466118 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	164356 u	158306 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1421043 	1536243 	4287283 	4884075 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1588282 u	1023201 u	1508078 	2050675 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	3347496 	2528670 	5455813 	5303924 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	310228 u	264072 	194953 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	302278 	553844 	735880 	830694 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	758139 	411545 u	1314770 	1521293 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	1998715 u	2342581 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	225208 	315726 	742394 	1041655 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	141341 	189117 	351456 	674958 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	543511 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	120762 	128393 u	137019 u	165463 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	1215050 	1284186 	3261263 	5931081 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	1018294 u	2730314 	911768 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	1455342 	1250821 	2277728 	1901615 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	356277 u	615576 u	1045556 	1224974 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	757121 u	3235551 u	2395250 u	: 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	395545 	362329 	434215 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE1,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1763355 u	940934 u	2416578 	2001287 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	2634644 u	2412015 u	2672570 	1943252 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	341111 u	398178 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	5105283 u	14609883 u	18019845 	15918577 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	1617367 u	4254708 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	255170 u	448400 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	149753 u	141977 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1365725 u	1451860 u	4009437 	4479376 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	1371462 u	1855517 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	2859151 u	2176835 u	4642872 	4656980 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	202252 u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	183280 	455135 	540479 	614976 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	630154 	: u	927936 u	997227 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	191195 	285446 	674513 	979114 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	118907 u	167852 u	272897 	573509 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	520074 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	90857 u	115233 u	127838 u	129022 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	924089 u	1149237 	2917726 	5652805 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	2495501 	717929 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	1402792 	1199516 	2191880 	1782260 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	291008 u	599694 u	985885 	1153963 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	357399 u	307158 u	334408 u
A,PROF,NEU27_2020_FOR,TOTAL,N_GE4,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	73981 u	: u	419401 	277416 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	167613 u	: 	: 	: 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	56991 u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	1288753 u	: u	1749700 u	2766166 u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	84382 u	277847 	404699 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	195158 u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	488345 u	351835 u	812941 	646944 u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	61820 u	68303 u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	118998 	98709 	195401 	215718 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	127985 	117969 u	386834 	524066 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	34013 	30280 	67881 	62542 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	22434 u	21265 u	78559 	101450 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	29905 u	: u	: u	36440 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	234813 u	193839 u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	52550 u	51306 	85849 	119355 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	65269 u	: u	59670 u	71011 u
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	397644 u	: u	: u	: 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	38146 u	55171 u	99807 
A,PROF,NEU27_2020_FOR,UNK,N1-3,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1837336 	1020598 u	2835979 	2278703 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	2802257 	: 	: 	: 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	431149 u	455169 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	6394036 u	15004409 u	19769546 	18684744 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	164356 u	158306 u
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1421043 	1536243 	4287283 	4884075 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1588282 u	1023201 u	1508078 	2050675 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	3347496 	2528670 	5455813 	5303924 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	310228 u	264072 	194953 u
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	302278 	553844 	735880 	830694 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	758139 	411545 u	1314770 	1521293 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	1998715 u	2342581 u
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	225208 	315726 	742394 	1041655 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	141341 	189117 	351456 	674958 
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	543511 u
A,PROF,NEU27_2020_FOR,UNK,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
