freq,purpose,c_dest,quant_inc,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,DOM,TOTAL,N1-3,NR,SI	2994580 	2861056 	2693222 	2189284 	2436374 	2534409 	3062823 	2296720 	1686870 	4602513 	3863576 	4950067 
A,PER,DOM,TOTAL,N1-3,NR,SK	3918960 	5525240 b	5798469 	7043087 	8691208 	9037490 	10078824 	11230593 	6361716 	6612906 	10251291 	10565502 
A,PER,DOM,TOTAL,N1-3,NR,UK	120588222 	118641820 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,DOM,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	11101423 	: 	15334273 	11541583 	: 	: 	: 
A,PER,DOM,TOTAL,N_GE1,NR,AT	33244872 	34730046 	32989548 	32288527 	35276382 	33592561 	36871483 	36529074 	33672372 	32329610 	39689927 	40980838 
A,PER,DOM,TOTAL,N_GE1,NR,BE	10614008 	10831847 	8797211 	10461465 	11604368 	9997927 b	14236855 	12928346 	12641695 	19113729 	14672162 	14634979 
A,PER,DOM,TOTAL,N_GE1,NR,BG	11472056 	14301552 	12048640 	9832474 	11552339 	17290218 	15973684 	14712915 	9752533 	11303151 	12571608 	14484914 
A,PER,DOM,TOTAL,N_GE1,NR,CH	23911932 	25592239 	25526220 	21121674 	23931399 	25863227 	24675508 	24782295 	31992985 	28744685 	26925910 	: 
A,PER,DOM,TOTAL,N_GE1,NR,CY	4283424 	4563297 	4437376 	3333188 	3787129 	3694277 	3656731 	3904521 	4591599 	4836451 	4477555 	4300147 
A,PER,DOM,TOTAL,N_GE1,NR,CZ	93177462 	88930596 	96055502 	85637316 	96211550 	99195815 	91882234 	99277536 	85210328 	89236713 	90378401 	76124623 
A,PER,DOM,TOTAL,N_GE1,NR,DE	486135358 	490555760 	483592143 	527892524 	504730126 	472740247 	509077240 	501958967 	412423731 	438683569 	464147151 	468773331 
A,PER,DOM,TOTAL,N_GE1,NR,DK	48635464 	50354608 b	57100818 	62389853 	48579506 	44287633 	34451615 	55000217 	53587953 	38676015 	33318557 	31487884 
A,PER,DOM,TOTAL,N_GE1,NR,EE	4490253 	3454342 	4754493 	5234750 	5694836 	5995193 	7541554 	6016932 	4121025 	4707271 	4814846 	5825583 
A,PER,DOM,TOTAL,N_GE1,NR,EL	45245827 	47954682 	53211514 	48659889 	46438077 	53577702 	59630041 	53650650 	52729069 	55269640 	58818125 	56439834 
A,PER,DOM,TOTAL,N_GE1,NR,ES	511456481 	531720065 	502160855 	462052629 b	488971575 	500025543 	487511443 	494909068 	344157276 	429429337 	475380512 	490552060 
A,PER,DOM,TOTAL,N_GE1,NR,FI	73470314 	75620319 	71829401 	72498493 	73357735 	73236617 	71872242 	74499558 	83454024 	97494818 	84637155 	72657294 
A,PER,DOM,TOTAL,N_GE1,NR,FR	967732011 	972826876 	969343508 	872330385 	851734199 	845729827 	851207442 	806698668 	729790951 	820029760 	841826286 	849669401 
A,PER,DOM,TOTAL,N_GE1,NR,HR	26059625 	26843640 	24557091 	22162682 	16792297 	17361804 	16083858 	19006872 	14804922 	18163973 	18665486 	20016037 
A,PER,DOM,TOTAL,N_GE1,NR,HU	44102860 	37426211 	38471996 	37550588 	36044441 	35586530 	36916455 	36922969 	25308203 	26761832 	30532901 	32249097 
A,PER,DOM,TOTAL,N_GE1,NR,IE	17214765 	17041754 	17991241 	17251733 	17901733 	18362480 	20601794 	21371654 	17276918 	13187911 	24751413 	22336278 
A,PER,DOM,TOTAL,N_GE1,NR,IT	269361020 	238427403 	202908804 b	190390468 	218250118 	225136603 	238172594 	223193035 	158674061 	192853610 	209548725 	188274510 
A,PER,DOM,TOTAL,N_GE1,NR,LT	6168173 	6394134 	6302944 	6467404 	6229493 	6318709 	6552880 	6650587 	5423413 	6721601 	7163541 	7939852 
A,PER,DOM,TOTAL,N_GE1,NR,LU	114612 	108013 	65628 	86336 	97873 u	147377 	132033 	84969 	396498 	588084 	750828 	671430 
A,PER,DOM,TOTAL,N_GE1,NR,LV	7678334 	6918787 	8213632 	6375065 	7098048 	6838911 	5418530 	5605045 	3952210 	6448194 	7015213 	6852693 
A,PER,DOM,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	3881703 	3672678 	: 	: 	: 	: 	: 	: 
A,PER,DOM,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	741301 	695063 	734656 	: 	: 
