freq,c_dest,purpose,duration,isced11,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER,N1-3,UNK,NR,CY	1074564 	879804 	962785 	1082593 	1114113 	1167110 	1329479 	1365000 	1444892 	1586491 	1349181 	1251908 
A,DOM,PER,N1-3,UNK,NR,CZ	18628902 	17215083 	18528217 	16203332 	17702092 	20061639 	18498367 	18301424 	12774637 	14492600 	17453952 	12840828 
A,DOM,PER,N1-3,UNK,NR,DE	84908064 	87350273 	80109555 	89534444 	87104335 	79063521 	82390597 	84381050 	57445754 	70272824 	67283380 	78472262 
A,DOM,PER,N1-3,UNK,NR,DK	17342909 	19196406 	19511192 	19496387 	17400216 	13838114 	6588550 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNK,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	374526 
A,DOM,PER,N1-3,UNK,NR,EL	2658927 	1357457 	1596409 	1472529 	1337167 	1446538 	1521486 	1300699 	1162815 	1220626 	1642427 	1477438 
A,DOM,PER,N1-3,UNK,NR,FR	101090835 	99691398 	100199550 	88733645 	87141181 	99012103 	96705160 	98083414 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNK,NR,HR	: 	: 	2862996 	1858851 	1318717 	1232553 	1381835 	1753025 	1246294 	1504046 	1446080 	1687033 
A,DOM,PER,N1-3,UNK,NR,HU	10404311 	8283007 	9005826 	: 	: 	: 	: 	: 	26746 u	6036837 	8005428 	7938366 
A,DOM,PER,N1-3,UNK,NR,IE	4989593 	4985981 	5301522 	5412039 	5655671 	5987283 	6883462 	7206159 	4500025 	3249162 	8286955 	7760878 
A,DOM,PER,N1-3,UNK,NR,IT	22914818 	17616095 	19635800 	18822480 	22957185 	20992374 	25693619 	21583168 	12639567 	11956283 	16535282 	14983171 
A,DOM,PER,N1-3,UNK,NR,LT	1800988 	1772756 	1859041 	1894224 	1809246 	1801918 	1892208 	2040226 	1759632 	2329937 	2751614 	2986346 
A,DOM,PER,N1-3,UNK,NR,LU	: 	48074 	20175 	11722 u	11417 u	22540 	28005 	7455 u	111457 	116073 	118096 	152744 
A,DOM,PER,N1-3,UNK,NR,ME	: 	: 	: 	: 	527043 	542721 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNK,NR,MT	165635 	164188 	: 	: 	: 	211062 	196795 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNK,NR,NL	79428 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNK,NR,NO	: 	6567323 	8174748 	7498071 	7541954 	7834014 	11817151 	: 	: 	12601211 	: 	: 
A,DOM,PER,N1-3,UNK,NR,PL	23553957 	22771087 	22452085 	23295558 	25434026 	26732292 	27682552 	28717731 	21599773 	25626943 	28760173 	29551317 
A,DOM,PER,N1-3,UNK,NR,PT	: 	: 	9029729 	: 	: 	: 	: 	: 	: 	: 	: 	11462935 
A,DOM,PER,N1-3,UNK,NR,RO	9618923 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N1-3,UNK,NR,SE	: 	: 	17769462 	20128632 	20044477 	20664989 	20524562 	20742462 	32588480 	32883658 	37488826 	: 
A,DOM,PER,N1-3,UNK,NR,SI	: 	: 	: 	: 	: 	1416660 	1560193 	1248643 	806440 	: 	: 	: 
A,DOM,PER,N1-3,UNK,NR,SK	1890993 	2666527 	2811721 	3317069 	4193045 	4440135 	4879430 	5249407 	2993088 	3199897 	5001765 	5104940 
A,DOM,PER,N1-3,UNK,NR,UK	66096023 	64927148 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,ED0-2,NR,AL	: 	: 	: 	: 	: 	1154261 	: 	1719002 	986998 	: 	: 	: 
A,DOM,PER,N_GE1,ED0-2,NR,AT	1503780 	1392230 	1307318 	1322069 	1457212 	1322694 	1517191 	1523571 	946847 	920085 	1268323 	1250765 
A,DOM,PER,N_GE1,ED0-2,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	657235 	675793 	553542 
A,DOM,PER,N_GE1,ED0-2,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	300329 	309079 
A,DOM,PER,N_GE1,ED0-2,NR,DK	: 	: 	: 	: 	: 	: 	: 	3299383 	3061817 	2058595 	1843891 	1664897 
A,DOM,PER,N_GE1,ED0-2,NR,EE	147767 	155126 	274255 	263038 	421698 	442392 	605066 	514520 	268481 	362843 	428784 	401466 
A,DOM,PER,N_GE1,ED0-2,NR,ES	40064517 	38728550 	36671643 	38572097 	41430044 	44438570 	43103061 	42712862 	21112208 	29880082 	32922215 	34674588 
A,DOM,PER,N_GE1,ED0-2,NR,FI	6481349 	6015510 	5329013 	5516508 	4729715 	5198660 	4459957 	3614429 	3294541 	4502854 	3688827 	2899979 
A,DOM,PER,N_GE1,ED0-2,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	6156676 	8984273 	10215206 	9634324 
A,DOM,PER,N_GE1,ED0-2,NR,HR	773480 	662018 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,ED0-2,NR,HU	: 	: 	: 	1825311 	1698266 	1437749 	1426563 	1436060 	696039 	: 	: 	: 
A,DOM,PER,N_GE1,ED0-2,NR,LU	12463 u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,DOM,PER,N_GE1,ED0-2,NR,LV	388430 	305457 	247786 	283151 	317894 	284400 	238748 	241845 	131304 	202296 	260132 	227696 
A,DOM,PER,N_GE1,ED0-2,NR,MK	: 	: 	: 	: 	: 	: 	: 	42976 	27822 	27744 	: 	: 
A,DOM,PER,N_GE1,ED0-2,NR,MT	: 	: 	22862 	32753 	22714 	: 	: 	15814 	17172 	16541 	27131 	27659 
A,DOM,PER,N_GE1,ED0-2,NR,NL	5964698 	5457508 	5224505 	4675350 	4712762 	4489511 	4034359 	3997710 	3503396 	4690304 	3232830 	3265230 
A,DOM,PER,N_GE1,ED0-2,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3174591 	3082470 
A,DOM,PER,N_GE1,ED0-2,NR,PT	5126717 	5249813 	: 	4726823 	4877179 	5288375 	5372816 	5544443 	3153524 	3664043 	4414014 	116238 
A,DOM,PER,N_GE1,ED0-2,NR,RO	: 	1458711 	1386870 	1313847 	1413021 	1309792 	1331630 	1133054 	596506 	929523 	853210 	1491607 
A,DOM,PER,N_GE1,ED0-2,NR,RS	: 	: 	: 	: 	: 	: 	52828 u	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,ED0-2,NR,SI	176700 	263016 	180578 	161976 	248231 	: 	: 	: 	: 	409551 	388589 	516188 
A,DOM,PER,N_GE1,ED3_4,NR,AL	: 	: 	: 	: 	: 	1292884 	: 	1595906 	1127344 	: 	: 	: 
A,DOM,PER,N_GE1,ED3_4,NR,AT	5151677 	5566761 	5661362 	5198019 	5767289 	5807596 	5569753 	5806035 	4855310 	4974387 	7009022 	7104199 
A,DOM,PER,N_GE1,ED3_4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1136192 	1272046 	1148367 
A,DOM,PER,N_GE1,ED3_4,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	1661141 	1765593 	1989706 
A,DOM,PER,N_GE1,ED3_4,NR,DK	: 	: 	: 	: 	: 	: 	: 	6970739 	6351793 	4658319 	4167043 	4094981 
A,DOM,PER,N_GE1,ED3_4,NR,EE	712376 	679653 	1020882 	1066201 	1288917 	1199545 	1597938 	1300115 	804440 	783159 	902209 	980084 
A,DOM,PER,N_GE1,ED3_4,NR,ES	39452315 	39273370 	38472715 	26311680 	28148095 	30005695 	30653068 	29958230 	16699577 	23698567 	28374678 	29131911 
A,DOM,PER,N_GE1,ED3_4,NR,FI	10211761 	10196665 	10067914 	10092057 	10225437 	10058681 	10150510 	9720544 	7879819 	9713328 	8216355 	7155273 
A,DOM,PER,N_GE1,ED3_4,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	45073440 	58163457 	64842901 	57136130 
A,DOM,PER,N_GE1,ED3_4,NR,HR	3034423 	3214298 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,ED3_4,NR,HU	: 	: 	: 	5908121 	5806882 	5894214 	5591461 	5774205 	3329834 	: 	: 	: 
A,DOM,PER,N_GE1,ED3_4,NR,LU	16928 u	: 	: 	: 	: 	: 	: 	9839 u	: 	: 	: 	: 
A,DOM,PER,N_GE1,ED3_4,NR,LV	1770738 	1587052 	1549155 	1320948 	1394930 	1337714 	1161687 	1076996 	508903 	998315 	1162816 	1117475 
A,DOM,PER,N_GE1,ED3_4,NR,MK	: 	: 	: 	: 	: 	: 	: 	89437 	112896 	101719 	: 	: 
A,DOM,PER,N_GE1,ED3_4,NR,MT	: 	: 	113935 	107953 	190688 	: 	: 	138012 	166349 	187153 	192629 	236742 
