freq,c_dest,purpose,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER_HOL,N1-3,NR,SE	: 	: 	15686800 	18740561 	18513350 	15716884 	15132482 	15016845 	25803404 	25644624 	25570763 	: 
A,DOM,PER_HOL,N1-3,NR,SI	2030987 	1769371 	1925377 	1440915 	1691407 	1631509 	2371706 	1471929 	1427614 	2980365 	2285270 	2480100 
A,DOM,PER_HOL,N1-3,NR,SK	1910308 	3073373 b	2739213 	3562875 	4976382 	5417388 	5182564 	6229757 	3653545 	3231883 	5105604 	5724702 
A,DOM,PER_HOL,N1-3,NR,UK	60912870 	59673188 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER_HOL,N_GE1,NR,AL	: 	: 	: 	: 	: 	4729999 	: 	8613855 	8317413 	: 	: 	: 
A,DOM,PER_HOL,N_GE1,NR,AT	24728542 	25481868 	23789415 	23897221 	25754694 	24217921 	23888592 	24686914 	22354070 	20469783 	25016590 	24776117 
A,DOM,PER_HOL,N_GE1,NR,BE	9725448 	9973608 	8312586 	9596347 	10149178 	9186323 b	12333567 	11265968 	11193105 	16724497 	12700088 	12521055 
A,DOM,PER_HOL,N_GE1,NR,BG	6856200 b	9029387 	7549578 	6338607 	7545024 	10905299 	10136742 	9131850 	6913723 	8108116 	9210369 	9630032 
A,DOM,PER_HOL,N_GE1,NR,CH	18797620 	17754147 	19991890 	15208788 	17732501 	17698814 	20193498 	17960413 	27560206 	24669307 	21860305 	: 
A,DOM,PER_HOL,N_GE1,NR,CY	3822711 b	3817054 	3685974 	2669529 	3134067 	3095630 	3189764 	3398520 	3882056 	4442747 	3924505 	3728948 
A,DOM,PER_HOL,N_GE1,NR,CZ	57474764 	56334776 	59466289 	52840368 	63015191 	61961014 	59152261 	65294125 	62383234 	64047055 	60909647 	49733034 
A,DOM,PER_HOL,N_GE1,NR,DE	254290500 	254823079 	253267300 	276169264 	260093944 	249645868 	293774421 	269672202 	215295886 	233174544 	283165005 	275147737 
A,DOM,PER_HOL,N_GE1,NR,DK	21995025 	23657113 b	27610155 	32369467 	23213638 	26611898 	22031098 	33711019 	34462477 	26032176 	20989502 	19827545 
A,DOM,PER_HOL,N_GE1,NR,EA20	1518294470 	1497929034 	1458126619 	1377753856 	1402706982 	1429869342 	1511907472 	1466485302 	1228957426 	1413493342 	1483031699 	1488362894 
A,DOM,PER_HOL,N_GE1,NR,EE	2196530 	1459778 	1621578 	2301074 	2458079 	2922482 	3921756 	3004421 	2480039 	2984800 	2907319 	3345915 
A,DOM,PER_HOL,N_GE1,NR,EL	33925459 	36912163 	40981205 	39259298 	37297131 	43784019 	49415662 	42953192 	45776643 	48668365 	48206871 	47376353 
A,DOM,PER_HOL,N_GE1,NR,ES	305858994 	318156851 	301912819 	251081541 b	277684050 	302377689 	291426084 	296986973 	199234443 	256067435 	289099557 	302324514 
A,DOM,PER_HOL,N_GE1,NR,EU27_2020	1795758975 e	1796676720 e	1729851198 	1662877018 	1697778376 	1731899868 	1807054174 	1791749005 	1535963825 	1741993411 	1832453314 	1839386878 e
A,DOM,PER_HOL,N_GE1,NR,FI	33146006 b	36168133 	34147757 	34038782 	34312716 	34759563 	35402967 	37495197 	51289081 	56067237 	48732395 	42325000 
A,DOM,PER_HOL,N_GE1,NR,FR	506231838 	506200280 	512709596 	457617811 	446069259 	466184757 	487132255 	458960667 	411262595 	448095622 	465943072 	486868319 
A,DOM,PER_HOL,N_GE1,NR,HR	16476348 	15621957 	13806175 	13978959 	11970659 	13485444 	11496775 	13257726 	10958631 	13937728 	14632764 	14801634 
A,DOM,PER_HOL,N_GE1,NR,HU	26618994 	22973032 	23031812 	22519068 	22922831 	23896270 	24836723 	25218558 	18052618 	18789409 	22201043 	23771931 
A,DOM,PER_HOL,N_GE1,NR,IE	9489041 	9966068 	10124045 	10302097 	10660087 	10177409 	11454316 	11978796 	10114937 	8002355 	13935577 	11528777 
A,DOM,PER_HOL,N_GE1,NR,IT	198515977 	160392462 	141245092 b	138811372 	156762739 	150682356 	165380031 	158222214 	116890768 	147470927 	151840325 	137936818 
A,DOM,PER_HOL,N_GE1,NR,LT	2044079 	2171881 	2410498 	2473658 	2450494 	2521184 	2624033 	2758305 	2497753 	3401296 	3617216 	4044179 
A,DOM,PER_HOL,N_GE1,NR,LU	66241 	43898 u	40622 u	64954 u	68043 u	78497 u	38612 u	39698 	233529 	251264 	376496 	256876 
A,DOM,PER_HOL,N_GE1,NR,LV	2408231 	2050203 	2960201 	2638113 	3186709 	2676947 	1908022 	1365504 	1763468 	3040539 	2834216 	2645400 
A,DOM,PER_HOL,N_GE1,NR,ME	: 	: 	: 	: 	2071468 	2168098 	: 	: 	: 	: 	: 	: 
A,DOM,PER_HOL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	543351 	605957 	673577 	: 	: 
A,DOM,PER_HOL,N_GE1,NR,MT	543743 	393413 	459845 b	494896 	743460 	616211 	590154 	553265 	822322 	886412 	866647 	876248 
A,DOM,PER_HOL,N_GE1,NR,NL	76817586 b	71889109 	69046781 	72594172 	76646989 	66591515 	69111662 	74819919 	75026136 	94438107 	63424683 	65065935 
A,DOM,PER_HOL,N_GE1,NR,NO	: 	21741646 	25105831 	22536973 	24798392 	23912509 	30204634 	: 	: 	46901587 	42630326 	38512414 
A,DOM,PER_HOL,N_GE1,NR,PL	94584841 	116151469 	85826362 b	91814608 	97803926 	102777303 	106038125 	115206227 	99693719 	115977151 	126607928 	130465605 
