head,relation,tail
1634,TO_DESTINATION,CY
1667,TO_DESTINATION,CY
1798,TO_DESTINATION,CY
1831,TO_DESTINATION,CY
1864,TO_DESTINATION,CY
1896,TO_DESTINATION,CY
1928,TO_DESTINATION,CY
1960,TO_DESTINATION,CY
2088,TO_DESTINATION,CY
2120,TO_DESTINATION,CY
2152,TO_DESTINATION,CY
2185,TO_DESTINATION,CY
2217,TO_DESTINATION,CY
2249,TO_DESTINATION,CY
2281,TO_DESTINATION,CY
2313,TO_DESTINATION,CY
2376,TO_DESTINATION,CY
2408,TO_DESTINATION,CY
2440,TO_DESTINATION,CY
2472,TO_DESTINATION,CY
2504,TO_DESTINATION,CY
2536,TO_DESTINATION,CY
2658,TO_DESTINATION,CY
2690,TO_DESTINATION,CY
2722,TO_DESTINATION,CY
2753,TO_DESTINATION,CY
2785,TO_DESTINATION,CY
2817,TO_DESTINATION,CY
2941,TO_DESTINATION,CY
2973,TO_DESTINATION,CY
3005,TO_DESTINATION,CY
3037,TO_DESTINATION,CY
3068,TO_DESTINATION,CY
3099,TO_DESTINATION,CY
3161,TO_DESTINATION,CY
3223,TO_DESTINATION,CY
3254,TO_DESTINATION,CY
3285,TO_DESTINATION,CY
3315,TO_DESTINATION,CY
3344,TO_DESTINATION,CY
3373,TO_DESTINATION,CY
3402,TO_DESTINATION,CY
3431,TO_DESTINATION,CY
3489,TO_DESTINATION,CY
3518,TO_DESTINATION,CY
3547,TO_DESTINATION,CY
218,TO_DESTINATION,CZ
247,TO_DESTINATION,CZ
276,TO_DESTINATION,CZ
305,TO_DESTINATION,CZ
334,TO_DESTINATION,CZ
360,TO_DESTINATION,CZ
392,TO_DESTINATION,CZ
421,TO_DESTINATION,CZ
450,TO_DESTINATION,CZ
479,TO_DESTINATION,CZ
510,TO_DESTINATION,CZ
541,TO_DESTINATION,CZ
572,TO_DESTINATION,CZ
603,TO_DESTINATION,CZ
631,TO_DESTINATION,CZ
665,TO_DESTINATION,CZ
696,TO_DESTINATION,CZ
727,TO_DESTINATION,CZ
758,TO_DESTINATION,CZ
789,TO_DESTINATION,CZ
820,TO_DESTINATION,CZ
851,TO_DESTINATION,CZ
882,TO_DESTINATION,CZ
909,TO_DESTINATION,CZ
943,TO_DESTINATION,CZ
974,TO_DESTINATION,CZ
1005,TO_DESTINATION,CZ
1036,TO_DESTINATION,CZ
1067,TO_DESTINATION,CZ
1098,TO_DESTINATION,CZ
1129,TO_DESTINATION,CZ
1160,TO_DESTINATION,CZ
1188,TO_DESTINATION,CZ
1221,TO_DESTINATION,CZ
1252,TO_DESTINATION,CZ
1283,TO_DESTINATION,CZ
