node_id,labels,props
216,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
217,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
218,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
219,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
220,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
221,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
222,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
223,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
224,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
225,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
226,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
227,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
228,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
229,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
230,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
231,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
232,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
233,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
234,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
235,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
236,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
237,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
238,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
239,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
240,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
241,[Trip],"{
  unit: EUR,
  duration: N1-3,
  freq: A,
  year: 2012,
  purpose: PER
}"
242,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
243,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
244,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
245,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
246,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
247,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
248,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
249,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
250,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
251,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
252,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
253,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
254,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
255,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
256,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
257,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
258,[Trip],"{
  unit: EUR,
  duration: N_GE1,
  freq: A,
  year: 2012,
  purpose: PER
}"
