freq,age,purpose,duration,unit,geo,year,value
A,PER,DOM,N1-3,Y55-64,NR,2012,6211892.0
A,PER,DOM,N1-3,Y55-64,NR,2012,33385751.0
A,PER,DOM,N1-3,Y55-64,NR,2012,703177.0
A,PER,DOM,N1-3,Y55-64,NR,2012,3416474.0
A,PER,DOM,N1-3,Y55-64,NR,2012,1392719.0
A,PER,DOM,N1-3,Y55-64,NR,2012,5812469.0
A,PER,DOM,N1-3,Y55-64,NR,2012,366246.0
A,PER,DOM,N1-3,Y55-64,NR,2012,608760.0
A,PER,DOM,N1-3,Y55-64,NR,2012,47733.0
A,PER,DOM,N1-3,Y55-64,NR,2012,5321634.0
A,PER,DOM,N1-3,Y55-64,NR,2012,6470781.0
A,PER,DOM,N1-3,Y55-64,NR,2012,2759411.0
A,PER,DOM,N1-3,Y55-64,NR,2012,2675214.0
A,PER,DOM,N1-3,Y55-64,NR,2012,447471.0
A,PER,DOM,N1-3,Y55-64,NR,2012,507602.0
A,PER,DOM,N1-3,Y55-64,NR,2012,20912060.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,11614059.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,2900170.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,3842109.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,6866989.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,1823074.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,36200298.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,167615290.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,26928655.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,701109826.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,2313852.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,5495625.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,166220655.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,886218485.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,39189392.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,184861260.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,5817978.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,20305731.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,8905635.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,42155530.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,3283417.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,54737.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,4741715.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,330686.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,33326859.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,47242930.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,13546352.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,19599109.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,2994580.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,3918960.0
A,PER,DOM,N1-3,Y_GE15,NR,2012,120588222.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,1479060.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,346908.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,260318.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,1021924.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,254113.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,4795643.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,26196787.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,3474335.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,95032282.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,113652.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,663939.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,20689496.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,119866805.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,4356732.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,27748203.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,366129.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,2894131.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,1139584.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,3449595.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,426754.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,451594.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,34649.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,4978149.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,5311339.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,1759888.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,1844259.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,321768.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,249026.0
A,PER,DOM,N1-3,Y_GE65,NR,2012,17862489.0
A,PER,DOM,N1-3,Y_LT15,NR,2012,31944239.0
A,PER,DOM,N1-3,Y_LT15,NR,2012,4204211.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,4201778.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,649615.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,2471001.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,2999739.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,498740.0
A,PER,DOM,N_GE1,Y15-24,NR,2012,11369954.0
